TNF_ligand,partner_ID,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
TNFSF8,TNFRSF8,9606,0.998,0,0.0,0,0.08,0.48700000000000004,0.8,0.9890000000000001
TNFSF8,CD40,9606,0.779,0,0.0,0,0.07400000000000001,0.0,0.0,0.7709999999999999
TNFSF8,TNFSF4,9606,0.6970000000000001,0,0.0,0,0.063,0.0,0.0,0.6890000000000001
TNFSF8,CD70,9606,0.687,0,0.0,0,0.062,0.0,0.0,0.6809999999999999
TNFSF8,TNFSF9,9606,0.6809999999999999,0,0.0,0,0.062,0.13,0.0,0.6409999999999999
TNFSF8,TNFRSF4,9606,0.6609999999999999,0,0.0,0,0.175,0.0,0.0,0.606
TNFSF8,CD40LG,9606,0.65,0,0.0,0,0.158,0.0,0.0,0.601
TNFSF8,CD8A,9606,0.64,0,0.0,0,0.098,0.0,0.0,0.618
TNFSF8,TNFSF15,9606,0.619,0,0.0,0,0.062,0.0,0.0,0.611
TNFSF8,CD4,9606,0.603,0,0.0,0,0.222,0.0,0.0,0.51
TNFSF8,CCL4,9606,0.588,0,0.0,0,0.297,0.0,0.0,0.43799999999999994
TNFSF8,TNF,9606,0.579,0,0.0,0,0.182,0.0,0.0,0.507
TNFSF8,TNFRSF9,9606,0.5770000000000001,0,0.0,0,0.062,0.0,0.0,0.5670000000000001
TNFSF8,CD86,9606,0.57,0,0.0,0,0.324,0.0,0.0,0.391
TNFSF8,BTLA,9606,0.565,0,0.0,0,0.152,0.0,0.0,0.508
TNFSF8,TNFSF18,9606,0.561,0,0.0,0,0.0,0.0,0.0,0.561
TNFSF8,TNFRSF14,9606,0.552,0,0.0,0,0.111,0.0,0.0,0.517
TNFSF8,CD27,9606,0.552,0,0.0,0,0.105,0.0,0.0,0.52
TNFSF8,MS4A14,9606,0.535,0,0.0,0,0.3,0.0,0.0,0.364
TNFSF8,TNFRSF1B,9606,0.53,0,0.0,0,0.17600000000000002,0.0,0.0,0.45399999999999996
TNFSF8,CCL3,9606,0.521,0,0.0,0,0.19399999999999998,0.0,0.0,0.431
TNFSF8,DCTD,9606,0.521,0,0.0,0,0.0,0.0,0.0,0.521
TNFSF8,TNFRSF1A,9606,0.513,0,0.0,0,0.053,0.0,0.0,0.507
TNFSF8,TNFRSF25,9606,0.496,0,0.0,0,0.062,0.0,0.0,0.484
TNFSF8,PTPRC,9606,0.495,0,0.0,0,0.34,0.0,0.0,0.266
TNFSF8,TNFSF14,9606,0.491,0,0.0,0,0.096,0.0,0.0,0.46
TNFSF8,FASLG,9606,0.489,0,0.0,0,0.084,0.0,0.0,0.466
TNFSF8,TNFSF13B,9606,0.474,0,0.0,0,0.124,0.0,0.0,0.425
TNFSF8,BCL2L10,9606,0.474,0,0.0,0,0.0,0.0,0.0,0.474
TNFSF8,SELL,9606,0.47200000000000003,0,0.0,0,0.316,0.0,0.0,0.26
TNFSF8,CD2,9606,0.465,0,0.0,0,0.332,0.0,0.0,0.233
TNFSF8,TNFSF10,9606,0.461,0,0.0,0,0.098,0.0,0.0,0.42700000000000005
TNFSF8,ZNF180,9606,0.45799999999999996,0,0.0,0,0.0,0.0,0.0,0.45799999999999996
TNFSF8,CD80,9606,0.455,0,0.0,0,0.135,0.0,0.0,0.396
TNFSF8,CCR5,9606,0.45,0,0.0,0,0.337,0.0,0.0,0.205
TNFSF8,CTLA4,9606,0.44299999999999995,0,0.0,0,0.12300000000000001,0.0,0.0,0.392
TNFSF8,ITGAM,9606,0.43799999999999994,0,0.0,0,0.3,0.0,0.0,0.231
TNFSF8,TNFRSF18,9606,0.435,0,0.0,0,0.08900000000000001,0.0,0.0,0.405
TNFSF8,CXCL9,9606,0.434,0,0.0,0,0.11800000000000001,0.131,0.0,0.321
TNFSF8,ARNT,9606,0.433,0,0.0,0,0.0,0.0,0.0,0.433
TNFSF8,TRAF5,9606,0.43200000000000005,0,0.0,0,0.0,0.0,0.0,0.43200000000000005
TNFSF8,CD28,9606,0.428,0,0.0,0,0.102,0.0,0.0,0.39
TNFSF8,TNFRSF6B,9606,0.42700000000000005,0,0.0,0,0.0,0.0,0.0,0.42700000000000005
TNFSF8,ENSG00000026036,9606,0.42700000000000005,0,0.0,0,0.0,0.0,0.0,0.42700000000000005
TNFSF8,TNFSF11,9606,0.425,0,0.0,0,0.062,0.0,0.0,0.413
TNFSF8,LTB,9606,0.424,0,0.0,0,0.214,0.0,0.0,0.297
TNFSF8,CD48,9606,0.423,0,0.0,0,0.341,0.0,0.0,0.16
TNFSF8,CCR7,9606,0.418,0,0.0,0,0.214,0.0,0.0,0.29
TNFSF8,CCRL2,9606,0.414,0,0.0,0,0.18100000000000002,0.0,0.0,0.314
TNFSF8,TNFSF12,9606,0.414,0,0.0,0,0.071,0.0,0.0,0.396
TNFSF8,CXCL8,9606,0.41200000000000003,0,0.0,0,0.077,0.0,0.0,0.39
TNFSF8,RELB,9606,0.41100000000000003,0,0.0,0,0.076,0.0,0.0,0.389
TNFSF8,ENSG00000277117,9606,0.409,0,0.0,0,0.062,0.0,0.0,0.396
TNFSF8,CSF2RB,9606,0.409,0,0.0,0,0.32799999999999996,0.0,0.0,0.157
TNFSF8,TAGAP,9606,0.409,0,0.0,0,0.33799999999999997,0.0,0.0,0.145
TNFSF8,B7RP1,9606,0.409,0,0.0,0,0.062,0.0,0.0,0.396
TNFSF8,CASP14,9606,0.408,0,0.0,0,0.0,0.0,0.0,0.408
