number,sample,batch,group
P1,P1,1,Pool
P2,P2,1,Pool
P3,P3,1,Pool
1,Q11.1D,1,Control.Diet
2,Q11.2D,1,Control.Diet
3,Q11.3D,1,Control.Diet
4,Q11.3D.R2,1,Control.Diet
5,Q12.1D,1,Control.Diet
6,Q12.2D,1,Control.Diet
7,Q12.3D,1,Control.Diet
8,Q12.3D.R2,1,Control.Diet
9,Q13.1D,1,Control.Diet
10,Q13.2D,1,Control.Diet
11,Q13.3D,1,Control.Diet
12,Q13.3D.R2,1,Control.Diet
14,Q14.1D,1,Control.Diet
15,Q14.2D,1,Control.Diet
16,Q14.3D,1,Control.Diet
17,Q15.1D,1,Control.Diet
18,Q15.2D,1,Control.Diet
19,Q15.3D,1,Control.Diet
20,R71.1D,1,Fish.Oil.Diet
21,R71.2D,1,Fish.Oil.Diet
22,R71.3D,1,Fish.Oil.Diet
23,R72.1D,1,Fish.Oil.Diet
24,R72.2D,1,Fish.Oil.Diet
25,R72.3D,1,Fish.Oil.Diet
26,R73.1D,1,Fish.Oil.Diet
27,R73.2D,1,Fish.Oil.Diet
28,R73.3D,1,Fish.Oil.Diet
29,R74.1D,1,Fish.Oil.Diet
30,R74.2D,1,Fish.Oil.Diet
31,R74.3D,1,Fish.Oil.Diet
32,R75.1D,1,Fish.Oil.Diet
33,R75.2D,1,Fish.Oil.Diet
34,R75.3D,1,Fish.Oil.Diet
