"sampleIDs","number","pipe","enrichment","sample","batch","group"
"Kinter_120720_DIA_Pool_1.mzML","P1","DIA","protein","P1",1,"Pool"
"Kinter_120720_DIA_Pool_2.mzML","P2","DIA","protein","P2",1,"Pool"
"Kinter_120720_DIA_Pool_3.mzML","P3","DIA","protein","P3",1,"Pool"
"Kinter_120720_DIA_Sample_01_Q11_1D.mzML","1","DIA","protein","Q11.1D",1,"Control.Diet"
"Kinter_120720_DIA_Sample_02_Q11_2D.mzML","2","DIA","protein","Q11.2D",1,"Control.Diet"
"Kinter_120720_DIA_Sample_03_Q11_3D.mzML","3","DIA","protein","Q11.3D",1,"Control.Diet"
"Kinter_120720_DIA_Sample_04_Q11_3D_20210220114346.mzML","4","DIA","protein","Q11.3D.R2",1,"Control.Diet"
"Kinter_120720_DIA_Sample_05_Q12_1D.mzML","5","DIA","protein","Q12.1D",1,"Control.Diet"
"Kinter_120720_DIA_Sample_06_Q12_2D.mzML","6","DIA","protein","Q12.2D",1,"Control.Diet"
"Kinter_120720_DIA_Sample_07_Q12_3D.mzML","7","DIA","protein","Q12.3D",1,"Control.Diet"
"Kinter_120720_DIA_Sample_08_Q12_3D_20210220125525.mzML","8","DIA","protein","Q12.3D.R2",1,"Control.Diet"
"Kinter_120720_DIA_Sample_09_Q13_1D.mzML","9","DIA","protein","Q13.1D",1,"Control.Diet"
"Kinter_120720_DIA_Sample_10_Q13_2D.mzML","10","DIA","protein","Q13.2D",1,"Control.Diet"
"Kinter_120720_DIA_Sample_11_Q13_3D.mzML","11","DIA","protein","Q13.3D",1,"Control.Diet"
"Kinter_120720_DIA_Sample_12_Q13_3D_20210220140656.mzML","12","DIA","protein","Q13.3D.R2",1,"Control.Diet"
"Kinter_120720_DIA_Sample_14_Q14_1D.mzML","14","DIA","protein","Q14.1D",1,"Control.Diet"
"Kinter_120720_DIA_Sample_15_Q14_2D.mzML","15","DIA","protein","Q14.2D",1,"Control.Diet"
"Kinter_120720_DIA_Sample_16_Q14_3D.mzML","16","DIA","protein","Q14.3D",1,"Control.Diet"
"Kinter_120720_DIA_Sample_17_Q15_1D.mzML","17","DIA","protein","Q15.1D",1,"Control.Diet"
"Kinter_120720_DIA_Sample_18_Q15_2D.mzML","18","DIA","protein","Q15.2D",1,"Control.Diet"
"Kinter_120720_DIA_Sample_19_Q15_3D.mzML","19","DIA","protein","Q15.3D",1,"Control.Diet"
"Kinter_120720_DIA_Sample_20_R71_1D.mzML","20","DIA","protein","R71.1D",1,"Fish.Oil.Diet"
"Kinter_120720_DIA_Sample_21_R71_2D.mzML","21","DIA","protein","R71.2D",1,"Fish.Oil.Diet"
"Kinter_120720_DIA_Sample_22_R71_3D.mzML","22","DIA","protein","R71.3D",1,"Fish.Oil.Diet"
"Kinter_120720_DIA_Sample_23_R72_1D.mzML","23","DIA","protein","R72.1D",1,"Fish.Oil.Diet"
"Kinter_120720_DIA_Sample_24_R72_2D.mzML","24","DIA","protein","R72.2D",1,"Fish.Oil.Diet"
"Kinter_120720_DIA_Sample_25_R72_3D.mzML","25","DIA","protein","R72.3D",1,"Fish.Oil.Diet"
"Kinter_120720_DIA_Sample_26_R73_1D.mzML","26","DIA","protein","R73.1D",1,"Fish.Oil.Diet"
"Kinter_120720_DIA_Sample_27_R73_2D.mzML","27","DIA","protein","R73.2D",1,"Fish.Oil.Diet"
"Kinter_120720_DIA_Sample_28_R73_3D.mzML","28","DIA","protein","R73.3D",1,"Fish.Oil.Diet"
"Kinter_120720_DIA_Sample_29_R74_1D.mzML","29","DIA","protein","R74.1D",1,"Fish.Oil.Diet"
"Kinter_120720_DIA_Sample_30_R74_2D.mzML","30","DIA","protein","R74.2D",1,"Fish.Oil.Diet"
"Kinter_120720_DIA_Sample_31_R74_3D.mzML","31","DIA","protein","R74.3D",1,"Fish.Oil.Diet"
"Kinter_120720_DIA_Sample_32_R75_1D.mzML","32","DIA","protein","R75.1D",1,"Fish.Oil.Diet"
"Kinter_120720_DIA_Sample_33_R75_2D.mzML","33","DIA","protein","R75.2D",1,"Fish.Oil.Diet"
"Kinter_120720_DIA_Sample_34_R75_3D.mzML","34","DIA","protein","R75.3D",1,"Fish.Oil.Diet"
