prot1,prot2,str_score,protpep_score,str_max_score,red_score,ort_score,phy_score,coexp_score,go_score,total_score,final_score
Q9NQC7,O43557,1.8315,57.2019,57.2019,1.0145,0.0,2.416,1.5818,105.17,23324.0,23324.0
P43405,P48023,3.1219,23.2116,23.2116,2.3588,0.0,2.416,1.5818,5.86,1226.15,1226.15
P63167,P50591,4.7996,0.0,4.7996,2.0764,0.0,1.1933,1.5818,105.17,1978.38,1978.38
Q9NZ08,P01375,1.8315,0.0,1.8315,0.0,0.0,2.416,1.5818,105.17,736.118,736.118
O75460,P48023,1.8531,5.24327,5.24327,2.3588,0.0,2.416,2.1077,10.8,680.178,680.178
P26842,O14788,468.913,3.86531,468.913,0.5125,0.0,0.0,2.1077,24.11,12212.2,12212.2
P29590,O43508,2.0697,0.0,2.0697,4.2492,0.0,2.013,2.7714,24.11,1182.92,1182.92
Q15848,P23510,45.9762,0.0,45.9762,0.5125,0.0,2.416,1.5818,24.11,2171.06,2171.06
Q05655,Q9Y275,21.4552,4.39006,21.4552,2.3254,0.0,2.416,2.7714,69.61,23254.0,23254.0
O00206,P01375,5.4987,3.52956,5.4987,0.0,0.0,2.416,1.1757,181.01,2827.2,2827.2
P42224,P23510,1.3385,23.2116,23.2116,21.3884,0.0,2.013,2.1077,5.86,12343.4,12343.4
Q9H295,P01375,0.0,3.52956,3.52956,0.0,0.0,2.416,1.1757,69.61,697.888,697.888
P02647,P23510,1.8315,0.0,1.8315,1.2535,0.0,2.416,1.1757,181.01,1180.39,1180.39
Q8N474,P01374,1.8315,3.51,3.51,0.5125,0.0,2.416,1.5818,181.01,1244.38,1244.38
Q08722,O43557,11.9953,3.52956,11.9953,0.9127,0.0,2.416,1.1757,24.11,749.773,749.773
Q04206,O14788,2.4032,0.0,2.4032,3.8142,0.0,2.416,1.1757,69.61,1812.42,1812.42
Q9UNE0,Q92838,22.5605,0.0,22.5605,0.7707,0.6153,0.0,3.9008,10.8,450.711,2084830.0
P02776,O14788,4.803999999999999,3.86531,4.803999999999999,3.7695,0.0,2.416,1.5818,105.17,7278.25,7278.25
Q9Y616,O14788,1.8315,4.98492,4.98492,1.7951,0.0,2.416,1.5818,69.61,2380.49,2380.49
P01583,O95150,1.3385,0.0,1.3385,0.0,0.0,2.416,2.1077,105.17,716.83,716.83
P32121,P01375,2.4032,0.0,2.4032,15.8699,0.0,2.416,2.1077,69.61,13518.9,13518.9
P15172,O14788,0.0,6.7087,6.7087,1.2535,0.0,2.416,3.9008,10.8,855.928,855.928
P14174,P01375,1.4802,0.0,1.4802,2.3254,0.0,2.013,1.5818,105.17,1152.67,1152.67
Q9Y616,P23510,1.1641,3.8544,3.8544,0.0,0.0,2.416,1.5818,69.61,1025.36,1025.36
P10276,P23510,1.5932,10.8914,10.8914,2.3254,0.0,2.013,1.1757,24.11,1445.17,1445.17
O60543,P01375,2.0697,0.0,2.0697,1.7092,0.0,2.416,1.5818,181.01,2447.1,2447.1
P04637,O14788,2.3512,0.0,2.3512,20.9141,0.0,2.416,1.5818,10.8,2029.56,2029.56
P22301,P23510,0.0,0.0,0.81,0.0,0.0,2.416,2.1077,181.01,746.6089999999999,746.6089999999999
P31749,O95150,1.9487,6.3960300000000005,6.3960300000000005,3.8142,0.0,2.416,1.1757,10.8,748.3960000000001,748.3960000000001
P78536,O14788,1.6503,0.0,1.6503,0.9127,21.926,2.416,1.1757,24.11,2261.73,4075750.0
P40763,Q9Y275,2.4439,16.112000000000002,16.112000000000002,21.3884,0.0,2.416,2.7714,2.07,4776.33,4776.33
P01023,P01374,6.3361,0.0,6.3361,2.4090000000000003,0.0,2.416,1.1757,24.11,1045.32,1045.32
P32121,P50591,2.0697,0.0,2.0697,15.8699,0.0,2.416,2.1077,10.8,1806.39,1806.39
P42224,P01374,1.9487,13.0046,13.0046,20.9141,0.0,2.416,1.1757,10.8,8343.6,8343.6
P36544,O43508,2.6756,4.98492,4.98492,0.0,0.0,1.1933,1.5818,69.61,654.984,654.984
Q99836,P01375,1.02,0.0,1.02,1.0145,0.0,2.416,2.7714,105.17,728.686,728.686
Q9NYJ8,P50591,1.2142,3.52956,3.52956,0.9127,0.6153,2.416,5.6875,24.11,656.676,656.676
P40763,Q06643,2.0697,15.8041,15.8041,19.2898,0.0,2.013,1.5818,2.07,2009.39,2009.39
P05067,P48023,4.3388,0.0,4.3388,20.9141,0.6153,2.416,0.7962,105.17,11295.5,11295.5
Q9NQC7,Q9Y275,3.6864,57.2019,57.2019,1.0145,0.0,2.416,3.9008,2.07,1132.1,1132.1
O00626,P48023,4.803999999999999,9.75,9.75,2.3588,0.0,2.416,2.7714,5.86,902.38,902.38
P51617,P01375,2.5395,4.09355,4.09355,2.0764,0.6153,2.416,1.1757,69.61,1034.1,1034.1
P04637,P48023,2.4771,0.0,2.4771,19.2898,0.0,2.416,1.1757,105.17,14274.4,14274.4
Q9UNE0,P48023,119.916,4.98492,119.916,2.3588,0.0,2.416,2.1077,0.89,1281.92,1281.92
O00175,P01375,2.8001,0.0,2.8001,2.3588,0.0,2.416,2.1077,24.11,810.9010000000001,810.9010000000001
Q00987,P01375,2.5395,3.52956,3.52956,3.8142,0.0,2.416,1.1757,69.61,2661.88,2661.88
O15455,O95150,5.4987,0.0,5.4987,0.0,0.0,2.416,1.5818,181.01,3803.74,3803.74
P01258,O14788,0.0,0.0,0.0,0.0,0.0,2.416,3.9008,181.01,1705.9,1705.9
O43353,P01375,1.7387,4.09355,4.09355,1.7092,0.6153,2.416,3.9008,105.17,4267.0,4267.0
Q9UNE0,O14788,119.916,4.98492,119.916,0.9127,0.0,0.0,3.9008,2.07,883.747,883.747
P43405,P23510,1.4777,23.2116,23.2116,2.3254,0.0,2.013,1.1757,24.11,3079.93,3079.93
P80075,P48023,25.2364,0.0,25.2364,2.3588,0.0,2.416,3.9008,5.86,3287.51,3287.51
P01023,P29965,6.0007,3.66,6.0007,2.3254,0.0,2.416,1.5818,24.11,1285.72,1285.72
O60674,P01375,3.1848,20.6892,20.6892,2.3254,0.6153,2.416,2.1077,105.17,15853.5,15853.5
Q96EB6,O43557,1.7387,0.0,1.7387,15.8699,0.0,2.013,0.7962,24.11,1066.26,1066.26
O15455,P01375,5.4987,0.0,5.4987,0.0,0.0,2.416,1.1757,181.01,2827.2,2827.2
Q8IUC6,O14788,1.1641,3.52956,3.52956,0.5125,0.0,2.416,2.1077,69.61,641.197,641.197
P02452,Q06643,12.2069,0.0,12.2069,1.0145,0.6153,0.0,2.1077,69.61,1117.96,1117.96
P22362,P01375,4.5731,0.0,4.5731,2.3588,0.0,2.416,2.1077,24.11,1324.36,1324.36
P26842,Q06643,66.1952,0.0,66.1952,0.9127,0.0,2.416,3.9008,5.86,3336.59,3336.59
P51671,P01375,25.2364,0.0,25.2364,2.3588,0.0,2.416,1.5818,24.11,5484.84,5484.84
Q13490,P50591,3.1848,8.37556,8.37556,1.7092,0.6153,2.416,5.6875,24.11,2918.16,2918.16
P25963,P01375,1.8315,0.0,1.8315,2.3254,0.6153,2.416,5.6875,181.01,6517.97,6243040.0
P16581,O14788,12.8482,0.0,12.8482,0.5125,0.0,2.416,1.5818,24.11,606.711,606.711
P78552,P01375,4.5731,0.0,4.5731,1.0145,0.0,2.416,1.5818,105.17,1864.67,1864.67
