prot1,prot2,str_score,protpep_score,str_max_score,red_score,ort_score,phy_score,coexp_score,go_score,total_score,final_score
P63167,P50591,4.7996,0.0,4.7996,2.0764,0.0,1.1933,1.5818,105.17,1978.38,1978.38
P26842,O14788,468.913,3.86531,468.913,0.5125,0.0,0.0,2.1077,24.11,12212.2,12212.2
Q15848,P23510,45.9762,0.0,45.9762,0.5125,0.0,2.416,1.5818,24.11,2171.06,2171.06
P0C862,Q92838,253.71599999999998,0.0,253.71599999999998,0.5125,0.0,2.416,2.7714,0.0,870.6389999999999,870.6389999999999
P49715,O14788,0.0,0.0,0.0,2.3254,0.0,2.416,1.5818,69.61,618.611,618.611
P42224,P23510,1.3385,23.2116,23.2116,21.3884,0.0,2.013,2.1077,5.86,12343.4,12343.4
Q9H295,P01375,0.0,3.52956,3.52956,0.0,0.0,2.416,1.1757,69.61,697.888,697.888
Q04206,O14788,2.4032,0.0,2.4032,3.8142,0.0,2.416,1.1757,69.61,1812.42,1812.42
Q9UNE0,Q92838,22.5605,0.0,22.5605,0.7707,0.6153,0.0,3.9008,10.8,450.711,2084830.0
P63165,O14788,1.8531,0.0,1.8531,20.9141,0.0,2.013,1.1757,10.8,990.6089999999999,990.6089999999999
Q9BXJ4,P29965,253.71599999999998,0.0,253.71599999999998,0.9127,0.0,2.416,1.1757,0.0,657.763,657.763
Q9BXJ5,O43557,45.9762,3.52956,45.9762,0.5125,0.0,2.416,2.1077,5.86,703.1210000000001,703.1210000000001
P15172,O14788,0.0,6.7087,6.7087,1.2535,0.0,2.416,3.9008,10.8,855.928,855.928
P14174,P01375,1.4802,0.0,1.4802,2.3254,0.0,2.013,1.5818,105.17,1152.67,1152.67
O60543,P01375,2.0697,0.0,2.0697,1.7092,0.0,2.416,1.5818,181.01,2447.1,2447.1
P40763,Q9Y275,2.4439,16.112000000000002,16.112000000000002,21.3884,0.0,2.416,2.7714,2.07,4776.33,4776.33
P01023,P01374,6.3361,0.0,6.3361,2.4090000000000003,0.0,2.416,1.1757,24.11,1045.32,1045.32
P42224,P01374,1.9487,13.0046,13.0046,20.9141,0.0,2.416,1.1757,10.8,8343.6,8343.6
P40763,Q06643,2.0697,15.8041,15.8041,19.2898,0.0,2.013,1.5818,2.07,2009.39,2009.39
Q9UNE0,P48023,119.916,4.98492,119.916,2.3588,0.0,2.416,2.1077,0.89,1281.92,1281.92
Q9UNE0,O14788,119.916,4.98492,119.916,0.9127,0.0,0.0,3.9008,2.07,883.747,883.747
P80075,P48023,25.2364,0.0,25.2364,2.3588,0.0,2.416,3.9008,5.86,3287.51,3287.51
P01023,P29965,6.0007,3.66,6.0007,2.3254,0.0,2.416,1.5818,24.11,1285.72,1285.72
P22362,P01375,4.5731,0.0,4.5731,2.3588,0.0,2.416,2.1077,24.11,1324.36,1324.36
Q9BXI9,P29965,253.71599999999998,0.0,253.71599999999998,0.9127,0.0,2.416,1.5818,0.0,884.962,884.962
P26842,Q06643,66.1952,0.0,66.1952,0.9127,0.0,2.416,3.9008,5.86,3336.59,3336.59
P25963,P01375,1.8315,0.0,1.8315,2.3254,0.6153,2.416,5.6875,181.01,6517.97,6243040.0
P78552,P01375,4.5731,0.0,4.5731,1.0145,0.0,2.416,1.5818,105.17,1864.67,1864.67
P10599,P01375,4.5731,3.52956,4.5731,2.3254,0.0,0.0,1.5818,69.61,1170.93,1170.93
Q9UNE0,P01375,45.9762,4.98492,45.9762,1.7092,0.0,2.416,1.1757,10.8,2410.7,2410.7
P10147,P48023,4.5731,62.31,62.31,2.3588,0.0,2.416,3.9008,0.0,1385.16,1385.16
Q15848,Q06643,45.9762,0.0,45.9762,0.9127,0.0,2.013,1.1757,10.8,1072.57,1072.57
Q6UWB1,Q9Y275,8.8266,5.4591199999999995,8.8266,0.0,0.0,2.416,2.1077,105.17,4727.06,4727.06
Q9BXI9,P01375,253.71599999999998,0.0,253.71599999999998,1.2535,0.0,2.416,1.1757,0.0,903.3710000000001,903.3710000000001
