"id","Protein.Name","Accession.Number","Molecular.Weight","Identified.Peptide.Count","Protein.Group.Score","Quantitative.Value","Kinter_120720_DIA_Pool_1.mzML","Kinter_120720_DIA_Pool_2.mzML","Kinter_120720_DIA_Pool_3.mzML","Kinter_120720_DIA_Sample_01_Q11_1D.mzML","Kinter_120720_DIA_Sample_02_Q11_2D.mzML","Kinter_120720_DIA_Sample_03_Q11_3D.mzML","Kinter_120720_DIA_Sample_04_Q11_3D_20210220114346.mzML","Kinter_120720_DIA_Sample_05_Q12_1D.mzML","Kinter_120720_DIA_Sample_06_Q12_2D.mzML","Kinter_120720_DIA_Sample_07_Q12_3D.mzML","Kinter_120720_DIA_Sample_08_Q12_3D_20210220125525.mzML","Kinter_120720_DIA_Sample_09_Q13_1D.mzML","Kinter_120720_DIA_Sample_10_Q13_2D.mzML","Kinter_120720_DIA_Sample_11_Q13_3D.mzML","Kinter_120720_DIA_Sample_12_Q13_3D_20210220140656.mzML","Kinter_120720_DIA_Sample_14_Q14_1D.mzML","Kinter_120720_DIA_Sample_15_Q14_2D.mzML","Kinter_120720_DIA_Sample_16_Q14_3D.mzML","Kinter_120720_DIA_Sample_17_Q15_1D.mzML","Kinter_120720_DIA_Sample_18_Q15_2D.mzML","Kinter_120720_DIA_Sample_19_Q15_3D.mzML","Kinter_120720_DIA_Sample_20_R71_1D.mzML","Kinter_120720_DIA_Sample_21_R71_2D.mzML","Kinter_120720_DIA_Sample_22_R71_3D.mzML","Kinter_120720_DIA_Sample_23_R72_1D.mzML","Kinter_120720_DIA_Sample_24_R72_2D.mzML","Kinter_120720_DIA_Sample_25_R72_3D.mzML","Kinter_120720_DIA_Sample_26_R73_1D.mzML","Kinter_120720_DIA_Sample_27_R73_2D.mzML","Kinter_120720_DIA_Sample_28_R73_3D.mzML","Kinter_120720_DIA_Sample_29_R74_1D.mzML","Kinter_120720_DIA_Sample_30_R74_2D.mzML","Kinter_120720_DIA_Sample_31_R74_3D.mzML","Kinter_120720_DIA_Sample_32_R75_1D.mzML","Kinter_120720_DIA_Sample_33_R75_2D.mzML","Kinter_120720_DIA_Sample_34_R75_3D.mzML"
"1","sp|Q2TPA8|HSDL2_MOUSE Hydroxysteroid dehydrogenase-like protein 2 OS=Mus musculus OX=10090 GN=Hsdl2 PE=1 SV=1","sp|Q2TPA8|HSDL2_MOUSE","54 kDa",20,0.999986203,0,254690400,247648100,214075200,326889100,280238600,252713800,390065000,181509200,165053800,90150860,122730600,209966100,202538700,125166900,135280200,171417300,174482000,117623900,186927500,201030900,138798700,403608100,411950700,371308200,309142000,317669200,277670100,252464200,264546200,218659000,293633700,280778800,253573200,325105900,314037600,282687300
"2","sp|Q9DC69|NDUA9_MOUSE NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Mus musculus OX=10090 GN=Ndufa9 PE=1 SV=2","sp|Q9DC69|NDUA9_MOUSE","43 kDa",20,0.999985386,0,254591400,243160400,175302000,545335600,500173300,394800200,716392700,320659700,302041300,116559700,200074300,362695900,305984000,148473800,217002100,257707000,289560000,167432500,333939900,330637400,214171600,260720900,314277700,202739900,247884300,255729400,201084300,232389100,215168100,186738400,250354200,215906500,187980900,258991900,233444200,197336800
"3","sp|P97298|PEDF_MOUSE Pigment epithelium-derived factor OS=Mus musculus OX=10090 GN=Serpinf1 PE=1 SV=2","sp|P97298|PEDF_MOUSE","46 kDa",2,0.999985085,0,205080.3,163554,145542.6,207181.5,128044.2,32086.15,209322.3,165556,121588.4,52743.96,20401.49,183532.9,346482.2,165366.2,0,290545,255427.7,191832.3,219923.8,258383.5,145706.5,213923.9,333073.5,45728.58,291846.9,279646.6,242112.6,437697.3,299686,223969.2,306979.4,286389.3,221774.2,412927.1,306430.8,96199.73
"4","sp|Q99NB1|ACS2L_MOUSE Acetyl-coenzyme A synthetase 2-like, mitochondrial OS=Mus musculus OX=10090 GN=Acss1 PE=1 SV=1","sp|Q99NB1|ACS2L_MOUSE","75 kDa",19,0.999982765,0,342429100,315767700,275078100,517287200,434110200,356549800,569595600,341723000,307236300,159007300,228204400,381520800,350595600,208779500,258953800,238777100,260298700,168063900,313586200,312877700,220626900,468882900,464515100,369127900,370022200,362879100,291598100,294207500,285256500,224893200,312743100,286278700,245473200,413313500,372592200,330269500
"5","sp|P52825|CPT2_MOUSE Carnitine O-palmitoyltransferase 2, mitochondrial OS=Mus musculus OX=10090 GN=Cpt2 PE=1 SV=2","sp|P52825|CPT2_MOUSE","74 kDa",24,0.999980632,0,493803200,483044000,452872900,712785200,621967800,583828000,800675800,455054000,421783600,249572000,335326500,553028200,522866100,329721700,394848800,399685100,425146000,309706000,436229700,432183100,329936800,695140300,690096900,609811100,542367800,529415700,468086600,465442200,479984000,403994700,507872000,489888100,417342800,503960400,490567300,429396300
"6","sp|Q8BVZ1|PLIN5_MOUSE Perilipin-5 OS=Mus musculus OX=10090 GN=Plin5 PE=1 SV=1","sp|Q8BVZ1|PLIN5_MOUSE","50 kDa",13,0.999980054,0,8377672,9317764,8803134,19677660,17054320,14784350,21337850,7372459,7349369,2864897,5545709,13059460,11238090,5889076,9224806,10028510,9592845,5621284,8620152,8965495,6920181,13951410,14352490,10434010,14175480,12587440,11551980,10546250,10804000,9515554,10323800,9359681,7992731,11376200,11188000,10142420
"7","sp|Q99LX0|PARK7_MOUSE Protein/nucleic acid deglycase DJ-1 OS=Mus musculus OX=10090 GN=Park7 PE=1 SV=1","sp|Q99LX0|PARK7_MOUSE","20 kDa",14,0.999979058,0,320675900,321019700,220130900,849489900,597465500,534081700,906110100,409950100,362260500,139648300,223523100,443815500,385432200,189252000,242527400,369068700,379859700,225730900,349816600,353700300,238668000,347954900,346487200,270676900,329583400,344876400,267608400,284516400,317420900,243256500,321971400,263050500,245404800,295853000,276244500,257791300
"8","sp|P10126|EF1A1_MOUSE Elongation factor 1-alpha 1 OS=Mus musculus OX=10090 GN=Eef1a1 PE=1 SV=3","sp|P10126|EF1A1_MOUSE","50 kDa",14,0.999977334,0,63273500,59320830,66175370,71551550,69755100,63945290,73490540,73507570,66332570,55212000,65844220,68185360,60469330,51845800,55675560,54180960,66879360,66703720,64788250,69496560,65794790,74290710,84031440,86233900,61792190,70634080,72152370,61103430,60975020,62991520,66237520,58322320,63254190,68567180,62050480,69612480
"9","sp|Q8K1M6|DNM1L_MOUSE Dynamin-1-like protein OS=Mus musculus OX=10090 GN=Dnm1l PE=1 SV=2","sp|Q8K1M6|DNM1L_MOUSE","83 kDa",35,0.999974955,0,102613600,98209750,88470760,198388200,152734500,123087500,196767700,119309100,105554700,49544330,74711230,130335500,117973100,59845030,76109390,119975100,115940600,69514110,115506900,105852700,72146510,117020500,113437600,85063690,113511900,103004100,78656360,96845770,95009600,76085580,99500690,90186300,66522560,102352500,94945050,79284630
"10","sp|Q01853|TERA_MOUSE Transitional endoplasmic reticulum ATPase OS=Mus musculus OX=10090 GN=Vcp PE=1 SV=4","sp|Q01853|TERA_MOUSE","89 kDa",37,0.999973862,0,652413200,673016700,675699900,1057879000,920099400,751940600,1030745000,828080800,742494400,462721200,611170500,838181200,758844300,522576800,598451600,719613900,734598000,548847100,706396600,713993000,566373900,761543600,734980500,675176400,722043600,747589100,665996600,663332900,639106800,586477600,657607100,577295700,567449500,657298100,617829700,605725900
