"id","Protein.Name","Accession.Number","Molecular.Weight","Protein.Group.Score","Identified.Peptide.Count","Quantitative.Value","UniprotID","Gene_name","Description","Q11.1D","Q11.2D","Q11.3D","Q11.3D.R2","Q12.1D","Q12.2D","Q12.3D","Q12.3D.R2","Q13.1D","Q13.2D","Q13.3D","Q13.3D.R2","Q14.1D","Q14.2D","Q14.3D","Q15.1D","Q15.2D","Q15.3D","R71.1D","R71.2D","R71.3D","R72.1D","R72.2D","R72.3D","R73.1D","R73.2D","R73.3D","R74.1D","R74.2D","R74.3D","R75.1D","R75.2D","R75.3D","logFC_Fish.Oil.Diet_vs_Control.Diet","CI.L_Fish.Oil.Diet_vs_Control.Diet","CI.R_Fish.Oil.Diet_vs_Control.Diet","AveExpr_Fish.Oil.Diet_vs_Control.Diet","t_Fish.Oil.Diet_vs_Control.Diet","B_Fish.Oil.Diet_vs_Control.Diet","P.Value_Fish.Oil.Diet_vs_Control.Diet","adj.P.Val_Fish.Oil.Diet_vs_Control.Diet","sig.PVal_Fish.Oil.Diet_vs_Control.Diet","sig.FDR_Fish.Oil.Diet_vs_Control.Diet"
"1","sp|Q2TPA8|HSDL2_MOUSE Hydroxysteroid dehydrogenase-like protein 2 OS=Mus musculus OX=10090 GN=Hsdl2 PE=1 SV=1","HSDL2_MOUSE","54 kDa",0.999986203,20,NA,"Q2TPA8","Hsdl2","Hydroxysteroid dehydrogenase-like protein 2",27.3875372355279,27.481246233918,27.6864175528528,27.6060181393726,27.1871042467372,27.2141640915645,27.3969878581436,27.2173898697336,27.3231366091159,27.3915128332573,27.5437842757627,27.2738408245524,27.188555644335,27.192917444677,27.2375038955764,27.3424192978412,27.4519390928299,27.3935571878315,28.3007237977301,28.3529519841849,28.5159900067457,28.1038613503286,28.1850715418372,28.2883271956442,28.0367736609873,28.1021343646832,28.1261811220624,28.1766174818087,28.2350713108582,28.2962604441378,28.2559876275009,28.2735881078176,28.3172279150936,0.875782731115269,0.771013394700973,0.980552067529565,27.7600848559106,17.0117707493048,30.6259829819591,8.04034092999731e-18,2.11241684433566e-15,0,0
"2","sp|Q9DC69|NDUA9_MOUSE NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Mus musculus OX=10090 GN=Ndufa9 PE=1 SV=2","NDUA9_MOUSE","43 kDa",0.999985386,20,NA,"Q9DC69","Ndufa9","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial",28.1258803027268,28.3170185942901,28.33003582547,28.4830542226675,28.0081046215783,28.0859735695055,27.7676437679431,27.9224307353399,28.1117406290506,27.9867714524331,27.7901395517677,27.9555991309363,27.7767746511021,27.9237015539787,27.7469022582287,28.1795289504301,28.1697717450882,28.0193303179537,27.6702749069355,27.9625201976663,27.6430028753574,27.7852585782116,27.8721643531856,27.822755807207,27.917237238098,27.8040788752772,27.8985170181695,27.9465705863004,27.8560439780032,27.8644442509815,27.9279848674764,27.8457285479884,27.7986808644943,-0.197893685892655,-0.321143160993189,-0.0746442107921217,27.948959540177,-3.26763994576241,-2.81146460576867,0.00254915029597968,0.00966803721178643,0,0
"3","sp|P97298|PEDF_MOUSE Pigment epithelium-derived factor OS=Mus musculus OX=10090 GN=Serpinf1 PE=1 SV=2","PEDF_MOUSE","46 kDa",0.999985085,2,NA,"P97298","Serpinf1","Pigment epithelium-derived factor",16.7638468993489,16.3854483810077,14.743151750574,16.7422453671102,17.0885966013964,16.8074490973899,16.6578682824223,14.6628571663408,17.1632346333511,18.2003122387651,17.9798113229135,NA,17.9840202844433,17.7769699475717,17.9773840585836,17.6111599521884,17.8482515425804,17.4978441106813,17.4190821057951,18.0805365989613,15.5287566901964,18.0550191720258,18.035366840648,18.1248492579505,18.8648440417719,18.3162820815839,18.1950144635698,18.2749575169143,18.2978306267419,18.1371654932683,18.6351807140457,18.2724278452945,16.7963413400615,0.88319747788259,0.215747116634361,1.55064783913082,17.4663783257968,2.69679379487568,-4.17975437012776,0.0111338412055917,0.0324362914154839,0,0
"4","sp|Q99NB1|ACS2L_MOUSE Acetyl-coenzyme A synthetase 2-like, mitochondrial OS=Mus musculus OX=10090 GN=Acss1 PE=1 SV=1","ACS2L_MOUSE","75 kDa",0.999982765,19,NA,"Q99NB1","Acss1","Acetyl-coenzyme A synthetase 2-like, mitochondrial",28.0497014570146,28.1126518689858,28.1830166995789,28.1522415880985,28.0998889250514,28.1105764184264,28.2156676995377,28.1122214821012,28.1847419052085,28.1831231267997,28.2819112403236,28.210584856118,27.6667074070539,27.7700073391549,27.7523325324388,28.0888025419231,28.0901206568019,28.0621718349151,28.5169963350045,28.5262057853545,28.5074936163375,28.3632035082603,28.3770352905153,28.3589366813957,28.2575288606184,28.2108744308515,28.1667384307414,28.2675779824798,28.2630576342093,28.2494236923653,28.6023143763259,28.5202482758197,28.5416645895195,0.308260544901461,0.190207477042561,0.426313612760362,28.2138111839191,5.31407893906841,2.89529471545668,7.46086279886578e-06,6.43638611603645e-05,0,0
"5","sp|P52825|CPT2_MOUSE Carnitine O-palmitoyltransferase 2, mitochondrial OS=Mus musculus OX=10090 GN=Cpt2 PE=1 SV=2","CPT2_MOUSE","74 kDa",0.999980632,24,NA,"P52825","Cpt2","Carnitine O-palmitoyltransferase 2, mitochondrial",28.5122033453596,28.6314304402081,28.8944565080062,28.643521788416,28.5130993281183,28.5677307383615,28.8660307829299,28.6674613738111,28.720333240416,28.7597567726482,28.941180017601,28.8191904325733,28.4099067170039,28.4777975969084,28.6342219973115,28.5650284667062,28.5561644794298,28.6427528322874,29.0850728555953,29.0972792424988,29.2317352416412,28.9148632076175,28.9219473023093,29.0417308273804,28.9192968568018,28.961600985173,29.0118347575264,28.9670648651541,29.0380895479038,29.0150910498922,28.8883882639616,28.9171018738248,28.920330604843,0.33863589558063,0.239848167263763,0.437423623897497,28.8107180103097,6.97617441795996,7.74217068691502,5.86658234400281e-08,1.04656931939309e-06,0,0
"6","sp|Q8BVZ1|PLIN5_MOUSE Perilipin-5 OS=Mus musculus OX=10090 GN=Plin5 PE=1 SV=1","PLIN5_MOUSE","50 kDa",0.999980054,13,NA,"Q8BVZ1","Plin5","Perilipin-5",23.3333665397486,23.4427996866974,23.591055826811,23.4137903094816,22.5653512767541,22.7249919374982,22.4212017816422,22.7494106002496,23.3161473412736,23.2197840023423,23.1341162826674,23.3995525090675,23.093222102953,23.0079417894171,22.8503661803459,22.9037975894279,22.965048871854,23.0675167155841,23.4462515108952,23.5098532462235,23.3627384573921,23.6570611717109,23.5276031300316,23.7011674171218,23.4554968428936,23.4882521202417,23.6039298548753,23.3466459314958,23.3282404717225,23.3086905155951,23.4191685282788,23.462674867611,23.5164946734178,0.408981174644023,0.228960777424843,0.589001571863203,23.2525372752522,4.62347953449598,0.890259961886475,5.65312447014967e-05,0.000376440776929322,0,0
"7","sp|Q99LX0|PARK7_MOUSE Protein/nucleic acid deglycase DJ-1 OS=Mus musculus OX=10090 GN=Park7 PE=1 SV=1","PARK7_MOUSE","20 kDa",0.999979058,14,NA,"Q99LX0","Park7","Protein/nucleic acid deglycase DJ-1",28.7653327583627,28.5734459565609,28.7659735567875,28.8219899467514,28.3625098845193,28.3482552441525,28.028372709775,28.0823188081268,28.402940245919,28.3197923396436,28.1402397258601,28.1160378745231,28.2949323165804,28.3153058945938,28.1779265850327,28.2465392215296,28.2670492636892,28.1755682787357,28.0866689935886,28.1032823472933,28.0599446015157,28.1962352591026,28.3036257313434,28.2350787636992,28.2092066503471,28.3650117929009,28.2799767465596,28.3095324703367,28.1409770930644,28.2490216358811,28.1199584136396,28.0885965440837,28.1842244210553,-0.149273380769415,-0.286947466351814,-0.0115992951870161,28.2768446083501,-2.20656896486071,-5.22646771367844,0.0344680636093918,0.0805276506314811,0,0
"8","sp|P10126|EF1A1_MOUSE Elongation factor 1-alpha 1 OS=Mus musculus OX=10090 GN=Eef1a1 PE=1 SV=3","EF1A1_MOUSE","50 kDa",0.999977334,14,NA,"P10126","Eef1a1","Elongation factor 1-alpha 1",25.1957908889273,25.474961153852,25.703823108923,25.197934043837,25.8830263072339,25.8990170658847,26.6896284660383,26.3190235808169,25.7005141104884,25.6475907358812,26.2722302063284,25.9930061960947,25.5269007871753,25.8094721793985,26.4191617908731,25.8137445645888,25.919535294142,26.3166083852035,25.8590223888775,26.0594814024527,26.4096998643354,25.7810880890995,26.015982660951,26.3440740511185,25.9900201082489,25.9849049013489,26.3307279204676,26.0283204907786,25.9677573156175,26.2930911215367,26.0106679833536,25.9341650789359,26.2954387231097,0.210186758588403,-0.0226072292868557,0.442980746463662,25.9723154838157,1.83752283203471,-5.90756210374336,0.075227081381524,0.150600358296697,0,0
"9","sp|Q8K1M6|DNM1L_MOUSE Dynamin-1-like protein OS=Mus musculus OX=10090 GN=Dnm1l PE=1 SV=2","DNM1L_MOUSE","83 kDa",0.999974955,35,NA,"Q8K1M6","Dnm1l","Dynamin-1-like protein",26.6670621815067,26.6056165260913,26.6485973630241,26.6187970037396,26.5817656571809,26.5692185562985,26.5333665643324,26.5012918925999,26.6352102822694,26.6117731731402,26.479234523925,26.4440364892357,26.6737779415503,26.6032250893907,26.4787004158905,26.6479195058852,26.5265798899407,26.4495646451692,26.5145299572172,26.4923792052191,26.3899881751361,26.6584352285988,26.5602480871957,26.4685906910597,26.65445577781,26.6247598693146,26.6031933513775,26.6153783630946,26.5966174994348,26.3657737626587,26.5886242305012,26.5478154951723,26.4831339644036,-0.0266127395187787,-0.0987737603486313,0.0455482813110738,26.5587776169504,-0.750540707223376,-7.27172153734574,0.458288102403846,0.591273489262105,0,0
"10","sp|Q01853|TERA_MOUSE Transitional endoplasmic reticulum ATPase OS=Mus musculus OX=10090 GN=Vcp PE=1 SV=4","TERA_MOUSE","89 kDa",0.999973862,37,NA,"Q01853","Vcp","Transitional endoplasmic reticulum ATPase",29.0818386803448,29.1963802744533,29.259531804656,29.0079191440613,29.3768331176031,29.3836078826606,29.7567178974168,29.5334697826494,29.3202423550863,29.2971191397044,29.6055742563316,29.4191247001243,29.2582659798002,29.2667942008105,29.459726957887,29.2604188688795,29.2804317510842,29.4223179160001,29.2166953060296,29.1881862641266,29.3786373078135,29.3276776340783,29.4197918576863,29.550470174197,29.4304279185348,29.3746717074935,29.5495743979451,29.3398258031473,29.2749477801777,29.4583501740455,29.2716257040693,29.2498600283434,29.4166859452813,0.01947771633386,-0.0943144082511329,0.133269840918853,29.3525376579552,0.348347876806362,-7.49649224274828,0.729808384830436,0.811522213220454,0,0
